TERM	0	支配従属構造照合	0,0,0	3
TERM	1	文	0,6,11	0
TERM	2	文	1,4,5	0
TERM	3	文	1,43,67	1
TERM	4	文	1,85,132	0
TERM	5	文	1,158,250	0
TERM	6	名詞句	0,8,13	0
TERM	7	名詞句	1,11,16	0
TERM	8	名詞句	1,45,69	1
TERM	9	名詞句	1,87,134	0
TERM	10	名詞句	1,171,268	0
TERM	11	前方照応解析	0,11,16	4
TERM	12	名詞句の前方照応解析	0,8,13	0
TERM	13	本稿	1,0,0	0
TERM	14	後方	1,7,9	0
TERM	15	位置	1,9,12	0
TERM	16	照応	1,15,21	0
TERM	17	照応	1,71,108	4
TERM	18	知識	1,19,27	0
TERM	19	処理機構	1,21,30	0
TERM	20	表層	1,27,38	0
TERM	21	情報	1,29,42	0
TERM	22	処理	1,33,50	0
TERM	23	処理	1,131,205	0
TERM	24	解析	1,36,56	0
TERM	25	方法	1,38,60	0
TERM	26	提案	1,40,62	0
TERM	27	方法の提案	1,38,60	0
TERM	28	構文構造	1,48,72	2
TERM	29	支配従属構造	1,51,76	2
TERM	30	支配従属構造	1,232,363	0
TERM	31	表現	1,55,83	0
TERM	32	構造照合	1,61,91	3
TERM	33	構造照合	1,78,120	3
TERM	34	構造照合	1,220,344	0
TERM	35	照合	1,66,99	0
TERM	36	場合	1,69,105	0
TERM	37	成立	1,73,111	0
TERM	38	規則	1,82,128	3
TERM	39	縮約	1,90,138	0
TERM	40	とき	1,93,143	0
TERM	41	観察	1,95,146	0
TERM	42	現象	1,98,151	0
TERM	43	うち	1,100,153	0
TERM	44	用連助詞	1,104,159	0
TERM	45	体連助詞	1,108,165	0
TERM	46	変化	1,113,171	0
TERM	47	情報伝達	1,115,174	0
TERM	48	語	1,120,184	0
TERM	49	削除	1,122,185	0
TERM	50	語の削除	1,120,184	0
TERM	51	着目	1,124,188	0
TERM	52	定義	1,126,192	0
TERM	53	前方照応	1,134,211	0
TERM	54	程度	1,138,218	0
TERM	55	検証	1,144,230	0
TERM	56	ため	1,146,234	0
TERM	57	実験	1,148,236	0
TERM	58	実験	1,181,282	0
TERM	59	ための実験	1,146,234	0
TERM	60	サ変動詞	1,151,239	0
TERM	61	サ変動詞	1,162,255	0
TERM	62	主要部	1,155,244	0
TERM	63	主要部	1,168,262	0
TERM	64	語幹	1,166,259	0
TERM	65	組	1,174,271	0
TERM	66	組	1,236,369	0
TERM	67	対象	1,176,272	0
TERM	68	新聞記事	1,185,287	0
TERM	69	抽出	1,188,293	0
TERM	70	178組	1,190,297	0
TERM	71	うち133組	1,193,301	0
TERM	72	74.7%	1,197,308	0
TERM	73	本手法	1,204,319	0
TERM	74	判定	1,208,325	0
TERM	75	判定	1,213,333	0
TERM	76	人間	1,210,328	0
TERM	77	一致	1,215,336	0
TERM	78	類似性	1,223,349	0
TERM	79	判断	1,229,358	0
TERM	80	優先解釈	1,238,370	0
TERM	81	組の優先解釈	1,236,369	0
TERM	82	出力	1,242,377	0
TERM	83	こと	1,244,381	0
TERM	84	入力	1,248,388	0
TERM	85	時点	1,250,390	0
TERM	86	一組当たり平均3.4通り存在	1,252,393	0
TERM	87	1.8通り	1,264,413	0
REL	0	11	3
REL	3	28	1
REL	8	28	1
REL	28	29	1
REL	29	32	2
REL	32	17	3
REL	38	33	4
