TERM	0	確率的タグ付与コーパス	0,0,0	0
TERM	1	確率的タグ付与コーパス	1,323,520	0
TERM	2	言語モデル構築	0,7,14	0
TERM	3	確率的言語モデル	1,0,0	0
TERM	4	仮名漢字変換	1,6,10	0
TERM	5	仮名漢字変換	1,143,232	4
TERM	6	音声認識	1,10,17	0
TERM	7	パラメータ	1,19,34	0
TERM	8	パラメータ	1,180,286	0
TERM	9	パラメータ	1,272,429	0
TERM	10	コーパス	1,22,41	0
TERM	11	コーパス	1,287,456	1
TERM	12	既存	1,24,45	0
TERM	13	コーパスの既存	1,22,41	0
TERM	14	ツール	1,26,47	0
TERM	15	処理結果	1,29,53	0
TERM	16	推定	1,32,59	0
TERM	17	推定	1,78,134	0
TERM	18	推定	1,87,146	0
TERM	19	推定	1,193,312	0
TERM	20	推定	1,289,462	0
TERM	21	精度	1,36,65	0
TERM	22	読み推定ツール	1,39,69	0
TERM	23	存在	1,43,77	0
TERM	24	ため	1,46,82	0
TERM	25	ため	1,133,219	0
TERM	26	ため	1,209,337	0
TERM	27	結果	1,48,85	0
TERM	28	結果	1,191,308	0
TERM	29	結果	1,256,408	0
TERM	30	言語モデル	1,52,91	0
TERM	31	言語モデル	1,158,254	3
TERM	32	言語モデル	1,177,281	3
TERM	33	言語モデル	1,264,417	3
TERM	34	言語モデル	1,319,513	0
TERM	35	単位	1,55,96	0
TERM	36	単位	1,155,249	0
TERM	37	単位	1,174,276	0
TERM	38	単位	1,267,422	0
TERM	39	単位	1,316,508	0
TERM	40	単語	1,57,98	0
TERM	41	単語	1,81,140	0
TERM	42	単語	1,100,164	0
TERM	43	単語	1,149,243	1
TERM	44	単語	1,168,270	0
TERM	45	単語	1,258,411	1
TERM	46	単語	1,310,502	0
TERM	47	品詞	1,60,102	0
TERM	48	組	1,62,104	0
TERM	49	組	1,153,248	0
TERM	50	組	1,172,275	0
TERM	51	組	1,262,416	0
TERM	52	組	1,314,507	0
TERM	53	仮名漢字モデル	1,67,109	0
TERM	54	比較的	1,71,116	0
TERM	55	読み付与済みコーパス	1,73,122	0
TERM	56	発音	1,83,142	0
TERM	57	単語の発音	1,81,140	0
TERM	58	確率	1,85,144	0
TERM	59	確率	1,104,168	0
TERM	60	確率	1,274,434	0
TERM	61	確率の推定	1,85,144	0
TERM	62	一定値	1,91,151	0
TERM	63	読み	1,102,166	0
TERM	64	読み	1,151,246	1
TERM	65	読み	1,170,273	0
TERM	66	読み	1,260,414	1
TERM	67	読み	1,312,505	0
TERM	68	文脈	1,106,170	0
TERM	69	独立	1,108,173	0
TERM	70	仮定	1,111,179	0
TERM	71	仮定	1,119,193	0
TERM	72	こと	1,114,185	0
TERM	73	こと	1,163,263	0
TERM	74	こと	1,291,466	0
TERM	75	こと	1,299,480	0
TERM	76	起因	1,121,196	0
TERM	77	精度低下	1,123,200	0
TERM	78	問題	1,129,213	0
TERM	79	問題	1,205,331	0
TERM	80	解決	1,131,215	0
TERM	81	問題の解決	1,129,213	0
TERM	82	本論文	1,136,223	0
TERM	83	本論文	1,212,341	0
TERM	84	本論文	1,305,494	0
TERM	85	利用	1,161,259	0
TERM	86	言語モデルの利用	1,158,254	0
TERM	87	提案	1,165,265	0
TERM	88	提案	1,222,354	0
TERM	89	提案	1,228,363	0
TERM	90	提案	1,308,498	0
TERM	91	ことの提案	1,163,263	0
TERM	92	自動単語分割	1,183,293	3
TERM	93	自動読み推定	1,187,302	3
TERM	94	処理過程	1,198,320	0
TERM	95	発生	1,201,325	0
TERM	96	誤り	1,203,329	0
TERM	97	回避	1,207,333	0
TERM	98	問題の回避	1,205,331	0
TERM	99	確率的タグ付与	1,217,347	3
TERM	100	確率的タグ付与の提案	1,217,347	0
TERM	101	採用	1,230,365	0
TERM	102	提案の採用	1,228,363	0
TERM	103	否	1,233,370	0
TERM	104	複数	1,237,376	0
TERM	105	仮名漢字変換器	1,239,378	4
TERM	106	構築	1,244,385	0
TERM	107	仮名漢字変換器の構築	1,239,378	0
TERM	108	テストコーパス	1,247,389	0
TERM	109	変換精度	1,251,400	0
TERM	110	変換精度	1,295,473	0
TERM	111	比較	1,254,404	0
TERM	112	変換精度の比較	1,251,400	0
TERM	113	単語分割	1,276,438	3
TERM	114	さらに確率的読み	1,280,444	3
TERM	115	付与	1,285,452	0
TERM	116	さらに確率的読みの付与	1,280,444	0
TERM	117	概念	1,329,531	0
TERM	118	結論	1,333,540	0
REL	31	5	3
REL	43	31	2
REL	64	31	2
REL	92	32	4
REL	93	32	4
REL	99	105	3
REL	45	33	2
REL	66	33	2
REL	33	113	4
REL	114	11	1
